Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2019,Honda,Passport EX-L,Used,"$32,398 ",4.4,153,Deep Scarlet,Gray,All-wheel Drive,19–24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF8H55KB022709
2017,Honda,Pilot Touring,Used,"$33,995 ",4.7,4,–,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H91HB078811
2022,Honda,Passport Elite,New,"$47,620 ",4.9,273,Platinum White Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB029833
2019,Honda,Insight LX,Used,"$20,999 ",4.9,1308,White,Black,Front-wheel Drive,55–49,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F12KE022902
2022,Honda,Pilot TrailSport,New,"$43,536 ",4.8,578,Platinum White Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H85NB099406
2019,Honda,Passport Touring,Used,"$29,997 ",4.7,103,–,–,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H92KB007579
2019,Honda,CR-V EX,Used,"$25,495 ",5.0,804,Maroon,Gray,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H54KE010793
2019,Honda,CR-V EX-L,Honda Certified,"$41,980 ",4.7,178,Crystal Black Pearl,–,All-wheel Drive,27–33,Gasoline,continuously variable w/sport mode,4 Cylinder Engine,5J6RW2H87KA007093
2022,Honda,Civic Si Si,Used,"$30,699 ",4.2,456,Black,Black/Red,Front-wheel Drive,27–37,Gasoline,Manual,Intercooled Turbo Premium Unleaded I-4 1.5 L/91,2HGFE1E58NH473011
2020,Honda,Passport EX-L,Honda Certified,"$36,490 ",5.0,2352,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H56LB005452
2022,Honda,Pilot Sport,New,"$41,770 ",4.8,1839,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H3XNB092181
2022,Honda,Pilot Sport,Used,"$33,599 ",5.0,7,Gray,Black,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H34NB022167
2022,Honda,CR-V Special Edition,Used,"$30,997 ",4.0,277,Sonic Gray Pearl,Black,All-wheel Drive,27–32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H75NH616449
2022,Honda,Accord Hybrid Sport,Used,"$34,495 ",5.0,1169,Sonic Gray Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F26NA025626
2022,Honda,Ridgeline Sport,Honda Certified,"$37,291 ",5.0,2637,Crystal Black Pearl,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F10NB002698
2016,Honda,Accord EX,Used,"$21,907 ",4.7,136,Silver,–,Front-wheel Drive,27–37,Gasoline,CVT,4 Cylinder Engine,1HGCR2F03GA243748
2016,Honda,Civic LX,Used,"$15,795 ",4.4,19,White,Tan,Front-wheel Drive,31–41,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F53GE053387
2019,Honda,Pilot Touring 8-Passenger,Used,"$27,995 ",4.7,8,Gray,–,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H9XKB045047
2014,Honda,Pilot LX,Used,"$11,900 ",4.9,837,Modern Steel Metallic,Gray,Four-wheel Drive,17–24,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H27EB054631
2020,Honda,Pilot EX-L,Honda Certified,"$30,867 ",4.3,1172,Crystal Black,Gray,Front-wheel Drive,19–27,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H54LB009675
2022,Honda,Accord Sport SE,New,"$29,276 ",4.2,415,Lunar Silver Metallic,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F4XNA091098
2022,Honda,Insight EX,Honda Certified,"$28,800 ",5.0,3543,Modern Steel Metallic,Black,Front-wheel Drive,55–49,Hybrid,Automatic CVT,1.5L I4 16V MPFI DOHC Hybrid,19XZE4F50NE000839
2020,Honda,Accord Sport 1.5T,Used,"$25,519 ",4.8,1053,Black,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F31LA144632
2001,Honda,Accord EX,Used,"$4,999 ",4.5,92,White,Gray,Front-wheel Drive,23–27,Gasoline,4-SPEED A/T,4 Cylinder Engine,JHMCG56641C020137
2019,Honda,Odyssey EX,Used,"$29,749 ",5.0,343,Gray,–,Front-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H59KB088732
2023,Honda,CR-V EX,New,"$34,250 ",5.0,1026,Platinum White Pearl,Gray,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,2HKRS4H46PH411254
2021,Honda,Passport Sport,Used,"$35,801 ",4.8,38,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H25MB034027
2021,Honda,Passport Sport,Used,"$30,998 ",4.3,697,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H27MB014040
2023,Honda,Civic Sport Touring,New,"$32,040 ",4.3,697,Smokey Mauve Pearl,Blk Lth-Trmmed,Front-wheel Drive,30–37,Gasoline,CVT,4 Cylinder Engine,19XFL1H81PE000608
2023,Honda,CR-V Hybrid Sport,New,"$36,200 ",4.8,3335,Urban Gray Pearl,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,7FARS6H53PE003494
2001,Honda,S2000,Used,"$24,995 ",4.8,27,Gray,Black,Rear-wheel Drive,20–26,Gasoline,6-Speed Manual,2.0L I4 16V MPFI DOHC,JHMAP11491T003405
2017,Honda,Civic EX,Used,"$19,998 ",4.8,3,Silver,Tan,Front-wheel Drive,31–40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F73HE038911
2019,Honda,Ridgeline RTL,Used,"$28,000 ",4.9,2397,Gray,Gray,All-wheel Drive,18–25,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F50KB035022
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",4.9,671,Platinum White Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F33NA025523
2014,Honda,Ridgeline SE,Used,"$28,900 ",4.6,32,Silver,Black,Four-wheel Drive,15–21,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FPYK1F62EB007207
2022,Honda,Pilot Sport,New,"$41,969 ",5.0,121,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB104668
2022,Honda,Accord Hybrid Sport,New,"$30,560 ",5.0,3207,Still Night Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA038993
2020,Honda,Passport EX-L,Used,"$29,854 ",5.0,1114,Crystal Black,Black,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H52LB003935
2022,Honda,Pilot Sport,New,"$41,770 ",4.6,1504,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB100785
2021,Honda,Passport Sport,Used,"$30,788 ",4.4,614,Platinum White Pearl,Black,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H23MB010058
2014,Honda,Crosstour EX,Used,"$12,499 ",4.8,19,Red,Tan,Front-wheel Drive,22–31,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,5J6TF3H34EL000031
2020,Honda,Civic Si Base,Used,"$27,997 ",4.9,235,Lunar Silver Metallic,Black,Front-wheel Drive,26–36,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC1E56LH706967
2016,Honda,Odyssey EX-L,Used,"$20,459 ",4.7,51,Silver,Gray,FWD,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H67GB066352
2020,Honda,Pilot EX,Honda Certified,"$30,000 ",5.0,1822,Platinum White Pearl,Beige,All-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37LB051620
2019,Honda,Passport EX-L,Used,"$27,977 ",4.7,8,Crystal Black Pearl,Black,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H57KB000978
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",3.1,1297,Lunar Silver Metallic,Black,All-wheel Drive,40–34,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,2HKRS6H95PH800152
2022,Honda,Pilot TrailSport,New,"$46,500 ",5.0,2791,Platinum White,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB075275
2019,Honda,Civic Type R Touring,Used,"$32,998 ",4.8,13,Black,Red,Front-wheel Drive,22–28,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G79KU202084
2017,Honda,Pilot Elite,Used,"$28,499 ",4.8,2019,White Diamond Pearl,Beige,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H0XHB009200
2021,Honda,CR-V EX,New,"$29,375 ",4.7,3094,Red,Gray,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RW1H51ML001037
2022,Honda,Pilot Sport,New,"$41,375 ",5.0,536,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF6H36NB085096
2022,Honda,Passport Elite,Used,"$42,592 ",4.9,295,Sonic Gray Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H01NB002398
2023,Honda,Pilot Touring,New,"$50,350 ",4.1,1498,Platinum White Pearl,Black,All-wheel Drive,19–25,Gasoline,Automatic,Premium Unleaded V-6 3.5 L/212,5FNYG1H75PB000934
2022,Honda,Pilot Sport,New,"$41,770 ",5.0,7009,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H39NB104241
2022,Honda,Civic Si Base,Used,"$31,900 ",4.8,365,Blue,Black / Red,Front-wheel Drive,27–37,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E54NH473961
