Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2022,Honda,Accord Sport SE,New,"$31,960 ",5,38,Still Night Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F48NA118606
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",5,4402,Urban Gray Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH800356
2022,Honda,Passport EX-L,New,"$42,053 ",4.5,1732,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB026819
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",4.5,1205,Meteorite Gray Metallic,–,AWD,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H51PE005941
2023,Honda,CR-V EX-L,New,"$36,505 ",4.7,2,Silver Metallic,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H7XPH400719
2023,Honda,Odyssey Elite,New,"$50,965 ",4.4,2,Obsidian Black,Gray,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H9XPB036553
2023,Honda,Ridgeline RTL,New,"$43,470 ",4.8,2,Pewter,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F5XPB009731
2023,Honda,Odyssey EX-L,New,"$41,486 ",4.6,1100,Gray,Gray,Front-wheel Drive,,Gasoline,–,3.5L V6 24V GDI SOHC,5FNRL6H68PB034306
2022,Honda,Ridgeline RTL-E,New,"$45,760 ",5,2546,Platinum White Pearl,Beige,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F72NB039434
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,2546,Platinum White Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F22NA043282
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,2546,Platinum White Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F20NA041191
2022,Honda,Ridgeline RTL,New,"$42,810 ",5,2546,Pacific Pewter Metallic,Black,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F53NB038176
2023,Honda,Odyssey Sport,New,"$43,050 ",4.4,306,Sonic Gray Pearl,Blk Lth,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,V6 Cylinder Engine,5FNRL6H78PB027428
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,306,Crystal Black Pearl,Blk Lth,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,V6 Cylinder Engine,5FNYF6H22NB091839
2023,Honda,Odyssey Sport,New,"$43,050 ",4.4,306,Platinum White Pearl,Blk Lth,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,V6 Cylinder Engine,5FNRL6H78PB023332
2023,Honda,Ridgeline RTL,New,"$43,075 ",4.8,9,Crystal Black Pearl,–,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F57PB005121
2022,Honda,Pilot TrailSport,New,"$46,105 ",4.3,471,Crystal Black Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H80NB095165
