Year,Make,Model,Condition,Price,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2022,Honda,Pilot Touring 8-Passenger,New,"$48,860 ",H22660,2,5,5,5,5,5,5,WI,Dealer
2022,Honda,Accord Hybrid Sport,New,"$34,555 ",223864,12,4.9,5,5,4.9,4.9,5,LA,Dealer
2022,Honda,Pilot Sport,New,"$39,780 ",22843,5,5,5,5,5,5,5,LA,Dealer
2023,Honda,Passport TrailSport,New,"$41,441 ",PB001092,4,,,,,,,LA,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",40T404,5,5,5,5,5,5,5,IL,Dealer
2023,Honda,Odyssey Sport,New,"$43,050 ",40T402,5,5,5,4,4,4,5,IL,Dealer
2023,Honda,Ridgeline Black Edition,New,"$44,042 ",H30108,5,5,4.8,4.8,4.2,5,5,IL,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",P100609,7,5,5,5,5,5,5,IL,Dealer
2023,Honda,Odyssey Sport,New,"$42,655 ",PB029697,8,5,5,4,4,4,5,IL,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105 ",NB067454,3042,5,5,5,5,5,5,IL,Dealer
2022,Honda,CR-V EX,New,"$32,055 ",62186,10,4.9,4.8,4.7,4.8,4.7,4.9,WI,Dealer
2023,Honda,Passport TrailSport,New,"$45,580 ",23099,2,,,,,,,IL,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",H5683,12,5,3,4,4,5,5,KY,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",H2200,–,5,5,5,5,5,5,KY,Dealer
2023,Honda,Ridgeline RTL-E,New,"$46,705 ",H5706,–,5,4.8,4.8,4.2,5,5,KY,Dealer
2023,Honda,Ridgeline Black Edition,New,"$47,920 ",H5611,–,5,4.8,4.8,4.2,5,5,KY,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",H2197,–,5,5,5,5,5,5,KY,Dealer
2022,Honda,Pilot Sport,New,"$40,770 ",22H640,2,5,5,5,5,5,5,MI,Dealer
2022,Honda,Passport Elite,New,"$50,125 ",B016984,1,5,5,4.9,5,4.9,5,KY,Dealer
2022,Honda,Pilot Sport,New,"$40,270 ",NB104296,4,5,5,5,5,5,5,MI,Dealer
2022,Honda,Pilot Sport,New,"$40,270 ",NB104665,4,5,5,5,5,5,5,MI,Dealer
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",52104,3,5,5,5,5,5,5,IN,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",52045,255,5,5,5,5,5,5,IN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",53069,25,5,3,4,4,5,5,IN,Dealer
2022,Honda,Accord Sport SE,New,"$31,960 ",52097,6,5,5,5,5,5,5,IN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",9760,176,5,3,4,4,5,5,GA,Dealer
2022,Honda,Passport EX-L,New,"$42,053 ",496329,12,5,5,4.9,5,4.9,5,GA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",PE005941,5,5,3,4,4,5,5,GA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505 ",H23032,–,5,5,5,4,4,5,OH,Dealer
2023,Honda,Odyssey Elite,New,"$50,965 ",H23099,–,5,5,4,4,4,5,OH,Dealer
2023,Honda,Ridgeline RTL,New,"$43,470 ",H23033,–,5,4.8,4.8,4.2,5,5,OH,Dealer
2023,Honda,Odyssey EX-L,New,"$41,486 ",HA24943,4,5,5,4,4,4,5,MI,Dealer
2022,Honda,Ridgeline RTL-E,New,"$45,760 ",NB039434,23,5,4.9,4.9,4.3,4.7,5,GA,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",NA043282,20,4.9,5,5,4.9,4.9,5,GA,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",NA041191,20,4.9,5,5,4.9,4.9,5,GA,Dealer
2022,Honda,Ridgeline RTL,New,"$42,810 ",NB038176,23,5,4.9,4.9,4.3,4.7,5,GA,Dealer
2023,Honda,Odyssey Sport,New,"$43,050 ",234004,0,5,5,4,4,4,5,MI,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205 ",225045,6,5,5,5,5,5,5,MI,Dealer
2023,Honda,Odyssey Sport,New,"$43,050 ",234003,0,5,5,4,4,4,5,MI,Dealer
2023,Honda,Ridgeline RTL,New,"$43,075 ",830090,7,5,4.8,4.8,4.2,5,5,CA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105 ",NB095165,7,5,5,5,5,5,5,CA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$46,465 ",5735655,9,5,5,5,5,5,5,CA,Dealer
2023,Honda,Pilot TrailSport,New,"$51,735 ",30443,–,,,,,,,CA,Dealer
2023,Honda,HR-V LX,New,"$24,895 ",PM713954,80,4,5,4,5,5,5,CA,Dealer
2022,Honda,Passport TrailSport,New,"$45,169 ",7528619,–,5,5,4.9,5,4.9,5,CA,Dealer
2023,Honda,Ridgeline RTL-E,New,"$45,920 ",X7015,5,5,4.8,4.8,4.2,5,5,NE,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",H05130,16,5,3,4,4,5,5,TX,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",23-0048,12,5,5,5,4,4,5,MO,Dealer
2022,Honda,Pilot EX-L,New,"$42,950 ",NB094491,7,5,5,5,5,5,5,IA,Dealer
2023,Honda,CR-V EX-L,New,"$36,983 ",PH401354,10,5,5,5,4,4,5,IA,Dealer
